,binned source EUI,Number of Buildings,Gross Floor Area,Year Built,Median Income for Zip,gas_heat,gas_water,gas_equip,elec_heat,elec_lighting,elec_equipment,elec_fans,elec_ref,elec_cool,elec_percent_total,bor_Brooklyn,bor_Manhattan,bor_Queens,bor_Staten Island,type_Distribution Center,type_Enclosed Mall,type_Hospital (General Medical & Surgical),type_Hotel,type_K-12 School,type_Medical Office,type_Multifamily Housing,type_Non-Refrigerated Warehouse,type_Office,type_Other - Education,type_Other - Lodging/Residential,type_Other - Mall,type_Other - Specialty Hospital,type_Refrigerated Warehouse,type_Residence Hall/Dormitory,type_Residential Care Facility,type_Retail Store,type_Senior Care Community,type_Strip Mall,type_Supermarket/Grocery Store,star_Low,star_Moderate,star_Not Available
119,Low,-0.06603640468878634,0.646887954732229,0.3978967581016277,0.449789295628669,-0.026898358550237787,0.09877299709915605,-0.18989608983952044,0.12306649771504652,-0.39990015818041963,0.29648945418220735,0.00809292274733408,-0.06690351585500445,-0.1763489388686062,-0.6223704246620219,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Low,-0.06603640468878634,-0.23171895630423267,-1.7247376697045065,0.449789295628669,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,Extremely High,-0.06603640468878634,0.027530892232572827,0.5968937357084528,0.449789295628669,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,Low,-0.06603640468878634,-0.026563373866061016,1.2602169943978698,0.449789295628669,-0.2590215906581289,0.37054703636281633,-0.18989608983952044,-0.1789275133176321,2.057630041075526,0.5735528899052811,-0.31960795143552995,-0.06690351585500445,-0.4588854127694467,0.6258039455285562,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
129,High,-0.06603640468878634,-0.339896157486398,-1.7579038326389773,0.449789295628669,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,Low,-0.06603640468878634,0.0652102944529311,1.7577094384149323,0.449789295628669,0.5719957200428656,-1.092601280015948,1.9974496272051918,-0.5525152435301177,-0.2499443121203317,-3.276096786245259,-0.027642727943933205,0.40017949665471203,3.1404994773199912,1.5273028403477278,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,High,-0.06603640468878634,-0.17986445419083064,-1.824236158507919,0.5660495916458517,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,Low,-0.06603640468878634,-0.0008721856239923524,-0.6302542928669685,0.5660495916458517,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,Low,-0.06603640468878634,-0.085443105342922,-1.7910699955734481,0.449789295628669,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,Moderate,-0.06603640468878634,-0.2922945630414125,-1.8905684843768606,0.449789295628669,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,Low,-0.06603640468878634,0.4035883984545026,-1.7579038326389773,0.5660495916458517,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,Low,-0.06603640468878634,-0.3436013994248675,-1.393076040359798,0.5660495916458517,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,Low,-0.06603640468878634,-0.10112900724961285,-1.558906855032152,0.5660495916458517,0.7046020179114869,-1.184293476125999,1.7140893874527254,-0.5525152435301177,0.722065646766907,-2.6281585142498236,2.5400095499765163,0.531282939237951,-0.18584314306299124,1.1639247481314974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
